TransactionID,CustomerID,ProductID,ProductName,Category,Subcategory,Brand,Quantity,UnitPrice,TotalAmount,Discount,TransactionDate,PaymentMethod,Channel,CustomerAge,CustomerGender,CustomerCity,CustomerSegment,Year,Month,DayOfWeek,Season
T000001,C00001,P00001,Smartphones Item 1,Electronics,Smartphones,Brand_A,1,899.99,899.99,0.0,2023-01-15,Credit Card,Online,32,Female,New York,Premium,2023,1,Sunday,Winter
T000002,C00002,P00045,Mens Wear Item 2,Clothing,Mens Wear,Brand_B,2,79.99,159.98,10.0,2023-01-16,Debit Card,In-Store,28,Male,Los Angeles,Regular,2023,1,Monday,Winter
T000003,C00003,P00089,Kitchen Item 1,Home & Garden,Kitchen,Brand_C,1,149.99,149.99,0.0,2023-01-17,Credit Card,Online,45,Female,Chicago,Premium,2023,1,Tuesday,Winter
T000004,C00001,P00156,Fiction Item 1,Books & Media,Fiction,Brand_A,3,24.99,74.97,5.0,2023-01-18,Digital Wallet,Online,32,Female,New York,Premium,2023,1,Wednesday,Winter
T000005,C00004,P00234,Fitness Item 1,Sports & Outdoors,Fitness,Brand_D,1,199.99,199.99,15.0,2023-01-19,Credit Card,In-Store,35,Male,Houston,Regular,2023,1,Thursday,Winter
T000006,C00005,P00298,Skincare Item 1,Health & Beauty,Skincare,Brand_E,2,49.99,99.98,0.0,2023-01-20,Cash,In-Store,29,Female,Phoenix,Budget,2023,1,Friday,Winter
T000007,C00006,P00367,Snacks Item 1,Food & Beverages,Snacks,Brand_A,4,12.99,51.96,0.0,2023-01-21,Debit Card,Online,41,Male,Philadelphia,Regular,2023,1,Saturday,Winter
T000008,C00002,P00012,Laptops Item 1,Electronics,Laptops,Brand_B,1,1299.99,1299.99,20.0,2023-01-22,Credit Card,Online,28,Male,Los Angeles,Regular,2023,1,Sunday,Winter
T000009,C00007,P00067,Womens Wear Item 1,Clothing,Womens Wear,Brand_C,1,129.99,129.99,0.0,2023-01-23,Credit Card,In-Store,33,Female,San Antonio,Premium,2023,1,Monday,Winter
T000010,C00008,P00134,Furniture Item 1,Home & Garden,Furniture,Brand_D,1,599.99,599.99,25.0,2023-01-24,Credit Card,Online,52,Male,San Diego,Premium,2023,1,Tuesday,Winter
T000011,C00003,P00178,Educational Item 1,Books & Media,Educational,Brand_E,2,89.99,179.98,0.0,2023-01-25,Debit Card,Online,45,Female,Chicago,Premium,2023,1,Wednesday,Winter
T000012,C00009,P00245,Outdoor Gear Item 1,Sports & Outdoors,Outdoor Gear,Brand_A,1,349.99,349.99,10.0,2023-01-26,Credit Card,In-Store,38,Male,Dallas,Regular,2023,1,Thursday,Winter
T000013,C00010,P00312,Makeup Item 1,Health & Beauty,Makeup,Brand_B,3,39.99,119.97,0.0,2023-01-27,Digital Wallet,Online,26,Female,San Jose,Budget,2023,1,Friday,Winter
T000014,C00004,P00389,Beverages Item 1,Food & Beverages,Beverages,Brand_C,2,8.99,17.98,0.0,2023-01-28,Cash,In-Store,35,Male,Houston,Regular,2023,1,Saturday,Winter
T000015,C00011,P00023,Tablets Item 1,Electronics,Tablets,Brand_D,1,499.99,499.99,15.0,2023-01-29,Credit Card,Online,42,Female,Austin,Premium,2023,1,Sunday,Winter
