TransactionID,CustomerID,ProductID,ProductName,Category,Subcategory,Brand,Quantity,UnitPrice,TotalAmount,Discount,TransactionDate,PaymentMethod,Channel,CustomerAge,CustomerGender,CustomerCity,CustomerSegment,Year,Month,DayOfWeek,Season,Revenue,Profit
T000001,C01443,P00335,Magazines HP Model 21,Books & Media,Magazines,HP,1,70.47,70.47,25,2023-01-23,Digital Wallet,Online,68,Male,Philadelphia,VIP,2023,1,Monday,Winter,70.47,16.51
T000002,C01223,P00617,Headphones Uniqlo Model 34,Electronics,Headphones,Uniqlo,1,431.49,431.49,30,2023-02-19,Cash,Mobile App,49,Male,San Diego,Premium,2023,2,Sunday,Winter,431.49,58.65
T000003,C00649,P00468,Snacks Amazon Basics Model 14,Food & Beverages,Snacks,Amazon Basics,1,45.96,45.96,0,2022-08-19,Digital Wallet,Mobile App,64,Female,Columbus,VIP,2022,8,Friday,Summer,45.96,22.21
T000004,C00624,P00431,Health Supplements Uniqlo Model 3,Health & Beauty,Health Supplements,Uniqlo,5,16.59,82.95,0,2023-09-09,Digital Wallet,In-Store,24,Male,San Jose,Premium,2023,9,Saturday,Fall,82.95,39.73
T000005,C01395,P00368,Printing Apple Model 33,Office Supplies,Printing,Apple,1,121.98,121.98,15,2023-09-26,Digital Wallet,Mobile App,66,Female,San Jose,Budget,2023,9,Tuesday,Fall,121.98,42.72
T000006,C00674,P00716,Bedding Amazon Basics Model 45,Home & Garden,Bedding,Amazon Basics,1,560.34,560.34,0,2024-02-12,Digital Wallet,In-Store,35,Female,Jacksonville,Regular,2024,2,Monday,Winter,560.34,189.83
T000007,C00703,P00642,International Uniqlo Model 8,Food & Beverages,International,Uniqlo,2,27.89,55.78,5,2024-03-31,Digital Wallet,Online,28,Male,Philadelphia,VIP,2024,3,Sunday,Spring,55.78,17.09
T000008,C00757,P00482,Formal Wear Amazon Basics Model 9,Clothing,Formal Wear,Amazon Basics,1,233.83,233.83,0,2022-01-26,Buy Now Pay Later,Online,26,Female,Phoenix,VIP,2022,1,Wednesday,Winter,233.83,92.58
T000009,C01448,P00629,Action Figures Dell Model 33,Toys & Games,Action Figures,Dell,1,227.08,227.08,0,2022-12-17,Debit Card,Mobile App,60,Female,San Jose,VIP,2022,12,Saturday,Winter,227.08,133.24
T000010,C01580,P00118,Furniture Uniqlo Model 47,Home & Garden,Furniture,Uniqlo,1,496.79,496.79,15,2022-06-18,Cash,Online,60,Male,Houston,Regular,2022,6,Saturday,Summer,496.79,207.39
T000011,C00933,P00103,Outdoor Toys Generic Brand Model 4,Toys & Games,Outdoor Toys,Generic Brand,1,179.63,179.63,10,2023-07-14,Cash,In-Store,52,Female,Indianapolis,VIP,2023,7,Friday,Summer,179.63,63.52
T000012,C00588,P00065,Cameras Value Plus Model 50,Electronics,Cameras,Value Plus,2,1993.62,3987.24,0,2023-12-25,Digital Wallet,Online,75,Female,San Antonio,VIP,2023,12,Monday,Winter,3987.24,2201.07
T000013,C01704,P00580,Electronics Value Plus Model 46,Office Supplies,Electronics,Value Plus,2,291.87,583.74,0,2024-02-07,Credit Card,Mobile App,74,Male,Seattle,Premium,2024,2,Wednesday,Winter,583.74,230.89
T000014,C01862,P00004,Outdoor Toys Amazon Basics Model 2,Toys & Games,Outdoor Toys,Amazon Basics,1,107.45,107.45,0,2022-08-22,Debit Card,In-Store,50,Male,San Francisco,Regular,2022,8,Monday,Summer,107.45,51.6
T000015,C00628,P00645,Activewear IKEA Model 31,Sports & Outdoors,Activewear,IKEA,1,361.52,361.52,5,2022-11-30,Debit Card,In-Store,51,Male,Chicago,Premium,2022,11,Wednesday,Fall,361.52,194.88
