OrderID,CustomerID,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,TotalAmount,OrderDate,CustomerAge,CustomerGender,CustomerCity,PaymentMethod,ShippingMethod,CustomerSegment,ProductRating,ReviewCount,IsReturned
ORD001,CUST001,PROD001,iPhone 14 Pro,Electronics,Apple,1,999.99,999.99,2023-01-15,28,Male,New York,Credit Card,Express,Premium,4.5,1250,0
ORD002,CUST002,PROD002,Nike Air Max,Footwear,Nike,1,129.99,129.99,2023-01-16,32,Female,Los Angeles,PayPal,Standard,Regular,4.2,890,0
ORD003,CUST003,PROD003,Samsung 4K TV,Electronics,Samsung,1,799.99,799.99,2023-01-17,45,Male,Chicago,Credit Card,Standard,Premium,4.7,2100,0
ORD004,CUST001,PROD004,Wireless Headphones,Electronics,Sony,2,199.99,399.98,2023-01-18,28,Male,New York,Credit Card,Express,Premium,4.3,567,0
ORD005,CUST004,PROD005,Yoga Mat,Sports,Lululemon,1,89.99,89.99,2023-01-19,35,Female,Houston,Debit Card,Standard,Regular,4.6,234,0
ORD006,CUST005,PROD006,Coffee Maker,Appliances,Keurig,1,149.99,149.99,2023-01-20,29,Female,Phoenix,Credit Card,Standard,Budget,4.1,445,1
ORD007,CUST006,PROD007,Gaming Laptop,Electronics,ASUS,1,1299.99,1299.99,2023-01-21,24,Male,Philadelphia,Credit Card,Express,Premium,4.4,678,0
ORD008,CUST002,PROD008,Skincare Set,Beauty,Olay,1,79.99,79.99,2023-01-22,32,Female,Los Angeles,PayPal,Standard,Regular,4.0,123,0
ORD009,CUST007,PROD009,Bluetooth Speaker,Electronics,JBL,1,99.99,99.99,2023-01-23,38,Male,San Antonio,Credit Card,Standard,Regular,4.5,789,0
ORD010,CUST008,PROD010,Running Shoes,Footwear,Adidas,1,119.99,119.99,2023-01-24,26,Female,San Diego,Debit Card,Express,Budget,4.3,456,0
ORD011,CUST003,PROD011,Smart Watch,Electronics,Apple,1,399.99,399.99,2023-01-25,45,Male,Chicago,Credit Card,Express,Premium,4.6,1890,0
ORD012,CUST009,PROD012,Protein Powder,Health,Optimum,2,49.99,99.98,2023-01-26,31,Male,Dallas,Credit Card,Standard,Regular,4.2,334,0
ORD013,CUST010,PROD013,Handbag,Fashion,Coach,1,299.99,299.99,2023-01-27,42,Female,Austin,Credit Card,Express,Premium,4.7,567,0
ORD014,CUST004,PROD014,Kitchen Knife Set,Kitchen,Henckels,1,199.99,199.99,2023-01-28,35,Female,Houston,Debit Card,Standard,Regular,4.5,234,0
ORD015,CUST011,PROD015,Board Game,Toys,Hasbro,1,39.99,39.99,2023-01-29,33,Male,Jacksonville,PayPal,Standard,Budget,4.1,123,0
ORD016,CUST005,PROD016,Vacuum Cleaner,Appliances,Dyson,1,399.99,399.99,2023-01-30,29,Female,Phoenix,Credit Card,Standard,Budget,4.8,890,0
ORD017,CUST012,PROD017,Tablet,Electronics,iPad,1,329.99,329.99,2023-01-31,27,Female,Seattle,Credit Card,Express,Regular,4.4,1234,0
ORD018,CUST006,PROD018,Gaming Mouse,Electronics,Logitech,1,79.99,79.99,2023-02-01,24,Male,Philadelphia,Credit Card,Standard,Premium,4.3,345,0
ORD019,CUST013,PROD019,Dress,Fashion,Zara,2,89.99,179.98,2023-02-02,30,Female,Miami,PayPal,Standard,Regular,4.0,156,1
ORD020,CUST007,PROD020,Camping Tent,Outdoor,Coleman,1,199.99,199.99,2023-02-03,38,Male,San Antonio,Credit Card,Standard,Regular,4.6,445,0
ORD021,CUST014,PROD021,Baby Stroller,Baby,Graco,1,249.99,249.99,2023-02-04,34,Female,Denver,Credit Card,Express,Premium,4.5,678,0
ORD022,CUST008,PROD022,Sunglasses,Fashion,Ray-Ban,1,149.99,149.99,2023-02-05,26,Female,San Diego,Debit Card,Standard,Budget,4.2,234,0
ORD023,CUST015,PROD023,Power Bank,Electronics,Anker,2,29.99,59.98,2023-02-06,25,Male,Portland,PayPal,Standard,Budget,4.4,567,0
ORD024,CUST009,PROD024,Resistance Bands,Fitness,TRX,1,49.99,49.99,2023-02-07,31,Male,Dallas,Credit Card,Standard,Regular,4.1,123,0
